model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.989357600061695,0.9983224035382035,0.9809680803236925,0.9895691609977324
LogisticRegression,0.989357600061695,0.9978668291939662,0.9814176532294321,0.9895738893925657
Perceptron,0.9864270841366546,0.9995386744579425,0.9740746291023528,0.986642380085003
SVC,0.9733940001542377,0.996859296482412,0.9512962685448824,0.9735449735449735
GaussianNB,0.9799491015655124,0.9795124869149096,0.9815675108646785,0.9805389221556887
DecisionTreeClassifier,0.9890491247011645,0.9983213795208301,0.9803686497827064,0.9892635717526085
MLPClassifier,0.9896660754222256,0.9984753773441073,0.9814176532294321,0.9898730350665055
