model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9900516696228888,0.998918083462133,0.9814730447987852,0.9901187284565302
LogisticRegression,0.989820313102491,0.9979935175181355,0.9819286256643888,0.9898958971218615
Perceptron,0.973548237834503,0.9998398462524023,0.9480637813211845,0.9732636994309767
SVC,0.973548237834503,0.9963422391857506,0.9514047076689446,0.9733550842849376
GaussianNB,0.9811830030076347,0.980742987111448,0.9822323462414578,0.9814871016691957
DecisionTreeClassifier,0.9900516696228888,0.998918083462133,0.9814730447987852,0.9901187284565302
