model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9887406493406339,0.9969540054827901,0.9811151079136691,0.9889711436772927
LogisticRegression,0.9886635305005013,0.9964997717242429,0.9814148681055156,0.9888997961187043
Perceptron,0.9855016580550628,0.9903206291591047,0.9814148681055156,0.9858476362541402
SVC,0.9710033161101257,0.9966866519406753,0.9467925659472423,0.9710991544965412
GaussianNB,0.9795635073648492,0.978777462262741,0.9815647482014388,0.980169123699768
DecisionTreeClassifier,0.9887406493406339,0.9978638999084528,0.9802158273381295,0.9889611371540904
MLPClassifier,0.9886635305005013,0.9964997717242429,0.9814148681055156,0.9888997961187043
