model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9904380012338063,0.9993849938499385,0.9818731117824774,0.9905516610789394
LogisticRegression,0.9888957433682912,0.9966257668711657,0.981570996978852,0.989041095890411
Perceptron,0.9893584207279457,0.9987688519544475,0.9803625377643505,0.9894801036743407
SVC,0.9717766810610734,0.9958769425943546,0.9486404833836858,0.9716849760173294
GaussianNB,0.9793337446020974,0.9771634615384616,0.9824773413897281,0.9798131967460079
DecisionTreeClassifier,0.9904380012338063,0.9993849938499385,0.9818731117824774,0.9905516610789394
MLPClassifier,0.9893584207279457,0.9972384166922369,0.9818731117824774,0.9894961181306136
