model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9902830261432868,0.9984942026803192,0.9828071735586187,0.990588586794144
LogisticRegression,0.9894347189018278,0.9965444711538461,0.9831036016007114,0.989778407819145
Perceptron,0.9873525102182463,0.9986365702166339,0.9770268267378094,0.9877135151333534
SVC,0.972468574072646,0.9965806652160398,0.950348302949459,0.9729155602761551
GaussianNB,0.9798719827253798,0.97775486152033,0.983696457684897,0.9807166605097895
DecisionTreeClassifier,0.9899745507827562,0.9983431239644525,0.9823625314954795,0.9902883609741521
MLPClassifier,0.9904372638235521,0.9990957045968349,0.9825107455165258,0.9907338215513376
