model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9903601449834194,0.9989371393865776,0.9823801702254741,0.9905894752691409
LogisticRegression,0.9904372638235521,0.9978791092258749,0.9835747349559504,0.9906752895172206
Perceptron,0.9868126783373178,0.9908243080625753,0.9835747349559504,0.9871862120644436
SVC,0.972468574072646,0.997489014438167,0.9490816783634464,0.9726834493840386
GaussianNB,0.9822626667694918,0.98196452526457,0.98372405554726,0.9828435029091452
DecisionTreeClassifier,0.9902830261432868,0.9990885614461492,0.9820815290428551,0.990512048192771
MLPClassifier,0.9894347189018278,1.0,0.9795430789905928,0.989665836916346
