model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9909770957044806,0.9987701767870869,0.9834998486224644,0.9910761955609794
LogisticRegression,0.9904372638235521,0.9976965601965602,0.9834998486224644,0.9905473395334654
Perceptron,0.9881236986195727,0.9929706601466992,0.9836512261580381,0.9882889733840303
SVC,0.9736253566746356,0.9960405448210327,0.9520133212231305,0.9735294117647059
GaussianNB,0.9814143595280327,0.9792199969884053,0.9844081138359068,0.9818072016305579
DecisionTreeClassifier,0.9910542145446133,0.9987703658161697,0.9836512261580381,0.9911531421598536
MLPClassifier,0.9908999768643479,0.9984634296250768,0.9836512261580381,0.9910019826140002
