model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.989357600061695,0.9987847485948655,0.9806114839671887,0.9896146899458158
LogisticRegression,0.9888948870208992,0.9980264156672233,0.9804623415361671,0.9891664158892567
Perceptron,0.9846533508136037,0.989172932330827,0.9810589112602536,0.9850992137776114
SVC,0.9706948407495951,0.996078431372549,0.947054436987323,0.970948012232416
GaussianNB,0.9801033392457777,0.9801876955161627,0.9813571961222968,0.9807720971828886
DecisionTreeClassifier,0.9888948870208992,0.9984804740920833,0.9800149142431022,0.9891615234080987
MLPClassifier,0.9887406493406339,0.997421507659639,0.9807606263982103,0.9890209053993082
