model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9886635305005013,0.9976894639556377,0.9800272355878348,0.9887794824822533
LogisticRegression,0.9891262435412972,0.9978448275862069,0.9807837796943562,0.9892407478061808
Perceptron,0.9880465797794401,0.9983014206300185,0.9782115297321834,0.9881543752388231
SVC,0.9713889103107889,0.9961819917276488,0.9474958390074142,0.9712291585886003
GaussianNB,0.9797948638852472,0.9790188679245283,0.9813890149795733,0.9802025086897386
DecisionTreeClassifier,0.9888948870208992,0.9976905311778291,0.9804811620517476,0.989010989010989
MLPClassifier,0.9892033623814298,0.9978451593042943,0.9809350885156605,0.98931786967801
