model,accScore,precScore,recallScore,f1Score,PCAcomp,PCAexplained_variance_ratio_
RandomForestClassifier,0.9907457391840827,0.9974073509226781,0.9844949570976969,0.990909090909091,"[[ 3.18483582e-01  3.40748354e-01  3.10516618e-01 ...  1.39379993e-01
   9.54055543e-02  1.24810983e-02]
 [ 1.35976927e-01 -1.53017994e-01  1.48739802e-03 ...  7.73269109e-02
   3.94862319e-01  4.06704704e-02]
 [-3.02982811e-02  8.98398638e-02  2.26708948e-01 ...  1.12291212e-01
  -1.16196109e-01 -5.00151759e-03]
 ...
 [-5.15096429e-02  4.31008999e-01 -6.79665636e-01 ...  2.11082423e-02
   2.36920562e-02 -1.30267741e-03]
 [ 4.27100173e-03  6.80902500e-01 -3.07489822e-02 ...  3.46522197e-03
   7.77149887e-04  3.61917678e-04]
 [-3.83958135e-02  1.74528250e-02  1.86339795e-02 ... -1.45446129e-02
   1.84990918e-02 -1.73887615e-04]]","[0.21365065 0.07813145 0.06399888 0.06240925 0.04532711 0.03858462
 0.03522536 0.03392198 0.03283791 0.03190796 0.03173074 0.0311692
 0.0298571  0.02861263 0.02813862 0.02654886 0.02451163 0.02214642
 0.02101985 0.01714958 0.01681442 0.01639428 0.014713   0.0135636
 0.01127458 0.00955897 0.00809456 0.00508123 0.00345348 0.00235393
 0.0011737  0.00046208]"
DecisionTreeClassifier,0.9898974319426236,0.9977071232039132,0.9825380099352702,0.9900644671975731,"[[ 3.18483582e-01  3.40748354e-01  3.10516618e-01 ...  1.39379993e-01
   9.54055543e-02  1.24810983e-02]
 [ 1.35976927e-01 -1.53017994e-01  1.48739802e-03 ...  7.73269109e-02
   3.94862319e-01  4.06704704e-02]
 [-3.02982811e-02  8.98398638e-02  2.26708948e-01 ...  1.12291212e-01
  -1.16196109e-01 -5.00151759e-03]
 ...
 [-5.15096429e-02  4.31008999e-01 -6.79665636e-01 ...  2.11082423e-02
   2.36920562e-02 -1.30267741e-03]
 [ 4.27100173e-03  6.80902500e-01 -3.07489822e-02 ...  3.46522197e-03
   7.77149887e-04  3.61917678e-04]
 [-3.83958135e-02  1.74528250e-02  1.86339795e-02 ... -1.45446129e-02
   1.84990918e-02 -1.73887615e-04]]","[0.21365065 0.07813145 0.06399888 0.06240925 0.04532711 0.03858462
 0.03522536 0.03392198 0.03283791 0.03190796 0.03173074 0.0311692
 0.0298571  0.02861263 0.02813862 0.02654886 0.02451163 0.02214642
 0.02101985 0.01714958 0.01681442 0.01639428 0.014713   0.0135636
 0.01127458 0.00955897 0.00809456 0.00508123 0.00345348 0.00235393
 0.0011737  0.00046208]"
MLPClassifier,0.9915169275854091,0.9987784394564055,0.9846454914948065,0.9916616130988477,"[[ 3.18483582e-01  3.40748354e-01  3.10516618e-01 ...  1.39379993e-01
   9.54055543e-02  1.24810983e-02]
 [ 1.35976927e-01 -1.53017994e-01  1.48739802e-03 ...  7.73269109e-02
   3.94862319e-01  4.06704704e-02]
 [-3.02982811e-02  8.98398638e-02  2.26708948e-01 ...  1.12291212e-01
  -1.16196109e-01 -5.00151759e-03]
 ...
 [-5.15096429e-02  4.31008999e-01 -6.79665636e-01 ...  2.11082423e-02
   2.36920562e-02 -1.30267741e-03]
 [ 4.27100173e-03  6.80902500e-01 -3.07489822e-02 ...  3.46522197e-03
   7.77149887e-04  3.61917678e-04]
 [-3.83958135e-02  1.74528250e-02  1.86339795e-02 ... -1.45446129e-02
   1.84990918e-02 -1.73887615e-04]]","[0.21365065 0.07813145 0.06399888 0.06240925 0.04532711 0.03858462
 0.03522536 0.03392198 0.03283791 0.03190796 0.03173074 0.0311692
 0.0298571  0.02861263 0.02813862 0.02654886 0.02451163 0.02214642
 0.02101985 0.01714958 0.01681442 0.01639428 0.014713   0.0135636
 0.01127458 0.00955897 0.00809456 0.00508123 0.00345348 0.00235393
 0.0011737  0.00046208]"
