model,accScore,precScore,recallScore,f1Score
RandomForestClassifier,0.9896660754222256,0.9981623277182236,0.9816265060240964,0.9898253606681853
LogisticRegression,0.9891262435412972,0.9969414283529592,0.9817771084337349,0.9893011609378558
Perceptron,0.9853474203747976,0.9887844801454987,0.9825301204819277,0.9856473787581205
SVC,0.9714660291509216,0.9966730038022814,0.9474397590361445,0.971432983323039
GaussianNB,0.9807974088069715,0.9800210304942166,0.9825301204819277,0.9812739715725352
DecisionTreeClassifier,0.9894347189018278,0.9987728179168585,0.9805722891566265,0.989588874534539
MLPClassifier,0.9897431942623582,0.9978576893649579,0.9820783132530121,0.9899051233396584
